"","username","my_watched_episodes","total_count","greater_than_eq_3_count","percentage","category"
"77","_hampnie",3,7,4,0.571428571428571,6
"78","_Hans_",3,11,6,0.545454545454545,6
"79","_Haruho",3,20,14,0.7,7
"80","_Hibarin",2,23,11,0.478260869565217,5
"81","_hikikomori",2,17,8,0.470588235294118,5
"82","_Hitsubaki_",2,22,10,0.454545454545455,5
"83","_Homura",3.5,40,26,0.65,7
"84","_HuggieTime_",10,1,1,1,10
"85","_Hysteria_",4,3,3,1,10
"86","_Iluvatar_",2,27,13,0.481481481481481,5
"87","_IneedAnime_",5,9,8,0.888888888888889,9
"88","_INTER_",1.5,14,5,0.357142857142857,4
"89","_intervention",5,11,9,0.818181818181818,9
"90","_Iris_",3,1,1,1,10
"91","_Ito",2,8,1,0.125,2
"92","_Iwatooshi",2,27,10,0.37037037037037,4
"93","_Iyo_",8,1,1,1,10
"94","_Jagdpanther_",6,7,6,0.857142857142857,9
"95","_Jarvis_",6,1,1,1,10
"96","_Joohoney",4.5,6,5,0.833333333333333,9
"97","_Joseph_naw",5,1,1,1,10
"98","_KAICO_",1,6,1,0.166666666666667,2
"99","_Kairu_",2,25,9,0.36,4
"100","_Kaito_",6.5,6,6,1,10
"101","_Kariwka_",2,1,0,0,1
"102","_KarL_",2,2,1,0.5,5
"103","_Keeko",6,9,6,0.666666666666667,7
"104","_Keiko_",2,49,20,0.408163265306122,5
"105","_Kelsey_",4.5,2,2,1,10
"106","_Kentaro",5,1,1,1,10
"107","_kiiyoko",1,3,1,0.333333333333333,4
"108","_Kin-chan_",2,9,4,0.444444444444444,5
"109","_kiyoshi_",5,12,9,0.75,8
"110","_Kogami",9,1,1,1,10
"111","_kopva",3,9,7,0.777777777777778,8
"112","_ktx",5,11,8,0.727272727272727,8
"113","_kuhaaku__",5,17,13,0.764705882352941,8
"114","_Kumasan_",4,9,5,0.555555555555556,6
"115","_kuri",5,3,2,0.666666666666667,7
"116","_KuroiKuma_",2.5,2,1,0.5,5
"117","_Kusuriuri_",3,5,3,0.6,6
"118","_kyota",2,1,0,0,1
"119","_kyubey",11,1,1,1,10
"120","_kyuu",1,1,0,0,1
"121","_laz_",4,45,27,0.6,6
"122","_LiTa__",2.5,4,2,0.5,5
"123","_Liz_",1,1,0,0,1
"124","_Lost_",15,1,1,1,10
"125","_loveless_",7,1,1,1,10
"126","_LUCIFER_",18,2,2,1,10
"127","_Lucy_",2,12,5,0.416666666666667,5
"128","_Luh",2,19,7,0.368421052631579,4
"129","_macajko",4,2,2,1,10
"130","_madness",3,4,3,0.75,8
"131","_Mako_",3,2,1,0.5,5
"132","_Mariam_Salim",5,1,1,1,10
"133","_MARIANNE_",5,45,31,0.688888888888889,7
"134","_mary-chan_",2,1,0,0,1
"135","_MaseSun_",6,5,3,0.6,6
"136","_MathheusSantos",2,102,46,0.450980392156863,5
"137","_Matysys_",2,11,4,0.363636363636364,4
"138","_mayumih",8,1,1,1,10
"139","_meow_",2,9,3,0.333333333333333,4
"140","_Mesmerise",3,39,20,0.512820512820513,6
"141","_MichaelTran_",2,13,5,0.384615384615385,4
"142","_midori_",3.5,8,6,0.75,8
"143","_Mihawk",3,2,2,1,10
"144","_MilkyWay_",4,1,1,1,10
"145","_Mitsuki_Rin",3.5,16,9,0.5625,6
"146","_Miu_",5.5,4,4,1,10
"147","_Miyoko",1,1,0,0,1
"148","_MIZUKOI_",1,3,1,0.333333333333333,4
"149","_Montero13",2,2,1,0.5,5
"150","_MoonLight_",2,47,21,0.446808510638298,5
"151","_Muun-",6,1,1,1,10
"152","_Myst",4,14,8,0.571428571428571,6
"153","_N0ctis_",2,1,0,0,1
"154","_NaMeLeSS",1,1,0,0,1
"155","_Namida_",6,2,1,0.5,5
"156","_NaMiii",2.5,4,2,0.5,5
"157","_Nanami-chan_",2.5,2,1,0.5,5
"158","_naruto",2,12,3,0.25,3
"159","_Navivi",4,9,5,0.555555555555556,6
"160","_Neeka",2,73,29,0.397260273972603,4
"161","_Nemezis_",3,5,3,0.6,6
"162","_NiKi_",2,122,52,0.426229508196721,5
"163","_Noil",1,459,41,0.0893246187363834,1
"164","_Nojbek_",2,1,0,0,1
"165","_Noodles_",2.5,16,8,0.5,5
"166","_Nys_",1.5,4,1,0.25,3
"167","_OnZa_",5,46,38,0.826086956521739,9
"168","_Oricalchos_",11,1,1,1,10
"169","_otaku_shoujo_",4,5,3,0.6,6
"170","_otaku4life_",2,9,4,0.444444444444444,5
"171","_OtakuHime",5,1,1,1,10
"172","_OtakuPrincess_",5,1,1,1,10
"173","_PaTry_ck",2,3,1,0.333333333333333,4
"174","_PeGa_",3,9,5,0.555555555555556,6
"175","_Peppe3_",3,7,4,0.571428571428571,6
"176","_Pokkuro_",2,27,13,0.481481481481481,5
"177","_poopyloop_",5,1,1,1,10
"178","_psychozelda_",6,5,4,0.8,8
"179","_purupurupuru",6,1,1,1,10
"180","_R0GU3_",1,1,0,0,1
"181","_Rafly91",2,16,7,0.4375,5
"182","_Raiden",3,7,4,0.571428571428571,6
"183","_Rain_",5,7,6,0.857142857142857,9
"184","_Raji_",4,4,4,1,10
"185","_RanMori_",3,7,4,0.571428571428571,6
"186","_Raspberyl_",5.5,2,2,1,10
"187","_ravennawis",3,5,5,1,10
"188","_Rayx_",3,69,43,0.623188405797101,7
"189","_Reddo_",1,1,0,0,1
"190","_Redfield",3,4,2,0.5,5
"191","_Renan",5,14,10,0.714285714285714,8
"192","_RenaRyuugu",2,4,1,0.25,3
"193","_Rodrigo",6,1,1,1,10
"194","_RodRigoo",2,1,0,0,1
"195","_rovena_black_",4,1,1,1,10
"196","_Rukiafreak",4,1,1,1,10
"197","_Ryushi_",2,14,5,0.357142857142857,4
"198","_ryvrr",1,6,1,0.166666666666667,2
"199","_sAik0_mOriTakA_",12,1,1,1,10
"200","_Saishi_",5,15,11,0.733333333333333,8
"201","_Sake_",2,11,3,0.272727272727273,3
"202","_Saphira",4,13,8,0.615384615384615,7
"203","_scion",4,54,34,0.62962962962963,7
"204","_SeizonSenryaku",4,2,1,0.5,5
"205","_senfuji_",1.5,2,0,0,1
"206","_Senpai",3.5,2,1,0.5,5
"207","_seraph",2,32,8,0.25,3
"208","_Setsuna_",2,3,1,0.333333333333333,4
"209","_Sherry99_",7,1,1,1,10
"210","_Shian_",10.5,2,2,1,10
"211","_Shinigami_sama_",5,2,2,1,10
"212","_SilentMelody_",2,8,3,0.375,4
"213","_Silhouette",2,2,0,0,1
"214","_SnapS_",3,6,5,0.833333333333333,9
"215","_Solid_Snake_",3,5,4,0.8,8
"216","_sona_",2,27,3,0.111111111111111,2
"217","_Souichi",3,1,1,1,10
"218","_SpIkE_",4,1,1,1,10
"219","_stark_",1,1,0,0,1
"220","_Stein",2.5,18,9,0.5,5
"221","_StillAlive_",2,28,10,0.357142857142857,4
"222","_Sting_",2,3,1,0.333333333333333,4
"223","_Subarashii_",13,2,2,1,10
"224","_SugarPowder_",4,12,8,0.666666666666667,7
"225","_Takumi-Usui_",3,6,4,0.666666666666667,7
"226","_Tetsuo_",1,4,0,0,1
"227","_TheProxitoFull_",4,3,2,0.666666666666667,7
"228","_Thiago_",1,1,0,0,1
"229","_Tieria",2,2,0,0,1
"230","_Tiina_",5,13,8,0.615384615384615,7
"231","_tsukiyo_",3,3,2,0.666666666666667,7
"232","_Usher",4,54,43,0.796296296296296,8
"233","_Van_",4,39,25,0.641025641025641,7
"234","_ViKsY_",1,3,1,0.333333333333333,4
"235","_Vincent_",2,2,1,0.5,5
"236","_vjt",4,1,1,1,10
"237","_Watanabe_",4,6,5,0.833333333333333,9
"238","_Wojo_",1,1,0,0,1
"239","_X-Alex-X_",6,2,2,1,10
"240","_XDayaDX_",2.5,2,1,0.5,5
"241","_Xziz_",11,2,2,1,10
"242","_YaBoKu_",3,17,9,0.529411764705882,6
"243","_yami",10,1,1,1,10
"244","_YaYa",5,9,8,0.888888888888889,9
"245","_yLucas",2.5,4,2,0.5,5
"246","_Yoshi_",11.5,2,2,1,10
"247","_Yuuko",4,2,2,1,10
"248","_Zer0Frost",6,31,23,0.741935483870968,8
"249","_Zero",3.5,4,4,1,10
"250","_Zuramaru_",3,3,2,0.666666666666667,7
"251","_Zwei_",4,5,3,0.6,6
"252","-__M__-",2,5,2,0.4,4
"253","-_-Valentina",10,1,1,1,10
"254","-_Hex_-",3,14,7,0.5,5
"255","-_mAtTeOtAkU-_",3.5,12,8,0.666666666666667,7
"256","-_RyLaN-_",6,7,7,1,10
"257","--animeislife--",3,15,8,0.533333333333333,6
"258","--Etsuko--",4,3,2,0.666666666666667,7
"259","--FallenAngel--",1,1,0,0,1
"260","--Kin--",4,5,4,0.8,8
"261","--N--",8,3,3,1,10
"262","--Vaultkai101--",5,7,7,1,10
"263","-0_o-",3,1,1,1,10
"264","-Aine-",3,9,5,0.555555555555556,6
"265","-Alians-",1,6,2,0.333333333333333,4
"266","-Alicia-San-",3,3,2,0.666666666666667,7
"267","-Ally",3,11,6,0.545454545454545,6
"268","-Alvein-",5,12,10,0.833333333333333,9
"269","-Amaya--",5,8,7,0.875,9
"270","-amu-",6.5,2,1,0.5,5
"271","-Anderty-",7,5,4,0.8,8
"272","-Ange_L",7,4,3,0.75,8
"273","-Anko-",2,1,0,0,1
"274","-anne-chan-",3,1,1,1,10
"275","-aoshi-",1,18,4,0.222222222222222,3
"276","-Aozora-",5,3,3,1,10
"277","-Araragi-",6,1,1,1,10
"278","-Arlequin-",4.5,10,8,0.8,8
"279","-AsakuraShin-",8,1,1,1,10
"280","-Aster-",6,13,12,0.923076923076923,10
"281","-Aurora",1,1,0,0,1
"282","-AWildLuke-",4,5,5,1,10
"283","-Ax-",2,1,0,0,1
"284","-Azuki-",2,19,8,0.421052631578947,5
"285","-Azure-",3,33,18,0.545454545454545,6
"286","-BakaSama-",12,1,1,1,10
"287","-Balmung-",5,2,1,0.5,5
"288","-Beat-",5.5,2,2,1,10
"289","-Belatriz-",2.5,10,5,0.5,5
"290","-Beloved-",8,2,2,1,10
"291","-Bettron-",2,9,2,0.222222222222222,3
"292","-Blacha-",4,4,3,0.75,8
"293","-Black",2,6,2,0.333333333333333,4
"294","-BlackRabbit-",6,1,1,1,10
"295","-BlackStar",1,1,0,0,1
"296","-blythe",1,22,3,0.136363636363636,2
"297","-Caio",2,20,7,0.35,4
"298","-Ceres-",2,12,5,0.416666666666667,5
"299","-chayle-",1,5,0,0,1
"300","-Chrissi-chan-",1,6,0,0,1
"301","-Chrissy-",3,1,1,1,10
"302","-Christelle-",2,1,0,0,1
"303","-Crys",3,1,1,1,10
"304","-ctk-",2,129,41,0.317829457364341,4
"305","-Cuddles",2,27,7,0.259259259259259,3
"306","-Daichi-",4,9,6,0.666666666666667,7
"307","-DaMo-",3,37,20,0.540540540540541,6
"308","-Danae",6,3,2,0.666666666666667,7
"309","-DangoTango",6,14,14,1,10
"310","-danny-",9,4,3,0.75,8
"311","-DanZo-",3,3,2,0.666666666666667,7
"312","-DarkFlame-",1,15,4,0.266666666666667,3
"313","-DarkNight-",2,1,0,0,1
"314","-DarkSpark-",6,11,10,0.909090909090909,10
"315","-Degurechaff-",3,48,29,0.604166666666667,7
"316","-Deimos-",2,5,2,0.4,4
"317","-Deoxys-",2,5,2,0.4,4
"318","-Derp",2.5,18,9,0.5,5
"319","-DraGonZ-",6.5,2,2,1,10
"320","-Dullahan",2,151,55,0.364238410596026,4
"321","-Edward",1,3,1,0.333333333333333,4
"322","-Edward-Elric-",9,4,4,1,10
"323","-Elegant-",2,3,0,0,1
"324","-Elly--chwan",1,3,1,0.333333333333333,4
"325","-Envy-",5.5,2,1,0.5,5
"326","-Eny-",3,15,11,0.733333333333333,8
"327","-Erin-",2,3,1,0.333333333333333,4
"328","-erio",2,25,9,0.36,4
"329","-Etain-",9,10,10,1,10
"330","-Ethereal",6,4,4,1,10
"331","-Excellence-",2.5,6,3,0.5,5
"332","-Fael",4,5,4,0.8,8
"333","-fantasy-",1,27,3,0.111111111111111,2
"334","-Fear",2,7,2,0.285714285714286,3
"335","-Federica-",10,1,1,1,10
"336","-FoolArcana",2,3,1,0.333333333333333,4
"337","-Frigo",3,1,1,1,10
"338","-Funny-",10,5,5,1,10
"339","-GaMzEe",15,1,1,1,10
"340","-gangu-",4,1,1,1,10
"341","-Gattsu-",1,2,0,0,1
"342","-Genesis-",4,7,6,0.857142857142857,9
"343","-Gil-",9,1,1,1,10
"344","-Gin-chan-",1,20,7,0.35,4
"345","-Ginko",1,12,3,0.25,3
"346","-GinPachi-",2,1,0,0,1
"347","-Griffith-",4,1,1,1,10
"348","-GundamCrazy-",2,42,19,0.452380952380952,5
"349","-Halcyon-",2,13,6,0.461538461538462,5
"350","-Haruka-",1.5,2,0,0,1
"351","-Haruru-",4,3,3,1,10
"352","-Harusame-",4,1,1,1,10
"353","-hatsumei",12,1,1,1,10
"354","-Hax-",2,3,1,0.333333333333333,4
"355","-Hay-Wong-",4,3,3,1,10
"356","-Heelo",4,1,1,1,10
"357","-Heloise-",2,3,1,0.333333333333333,4
"358","-Hikari-",2,1,0,0,1
"359","-hiroha-",7,2,2,1,10
"360","-Hitokiri-",2,13,6,0.461538461538462,5
"361","-hiyoko",1,3,1,0.333333333333333,4
"362","-Houkiboshi-",3.5,8,5,0.625,7
"363","-Howl-",6.5,2,2,1,10
"364","-Hyper-",1,12,3,0.25,3
"365","-Hysteria-",2,25,10,0.4,4
"366","-IceWolf-",2,19,8,0.421052631578947,5
"367","-Ichihara-Yuuko-",5,1,1,1,10
"368","-iinori-",8,7,7,1,10
"369","-ikaR-",9.5,26,21,0.807692307692308,9
"370","-INFERNO",2,3,1,0.333333333333333,4
"371","-InstaRamen",3,7,6,0.857142857142857,9
"372","-inwA_",5.5,8,8,1,10
"373","-Jhon-",3,14,8,0.571428571428571,6
"374","-Joey-",3,7,5,0.714285714285714,8
"375","-joker-",3,3,2,0.666666666666667,7
"376","-Juanjo",5,12,10,0.833333333333333,9
"377","-Juno-",2,7,3,0.428571428571429,5
"378","-ka-ro-",12,5,3,0.6,6
"379","-Kaiji-",3,2,1,0.5,5
"380","-Kairix",2,6,2,0.333333333333333,4
"381","-Kaji-",1,68,17,0.25,3
"382","-KamioRika-",4.5,2,1,0.5,5
"383","-KamuiYato-",2,1,0,0,1
"384","-KARASU-",4,19,14,0.736842105263158,8
"385","-Karkat-",7,1,1,1,10
"386","-kassy-",2,8,1,0.125,2
"387","-Kawaii-Sushi-",3,13,7,0.538461538461538,6
"388","-Kazu",4,41,26,0.634146341463415,7
"389","-Kazuki-",5,12,10,0.833333333333333,9
"390","-Keiki-",11,1,1,1,10
"391","-Kenjiro",3,1,1,1,10
"392","-Kenshin-",6,30,29,0.966666666666667,10
"393","-Killua-",5,12,9,0.75,8
"394","-Kimi-",1,1,0,0,1
"395","-Kimiko-",3,5,4,0.8,8
"396","-Kiraboshi-",3,11,7,0.636363636363636,7
"397","-KittehEatsKids-",3.5,2,1,0.5,5
"398","-Kokia-",1,1,0,0,1
"399","-Kon",1,7,0,0,1
"400","-KoNaChan-",8,2,2,1,10
"401","-Konata",6,3,3,1,10
"402","-Kuroneko",3,3,2,0.666666666666667,7
"403","-kuroneko-",2,27,13,0.481481481481481,5
"404","-Kurosagi-",3,7,4,0.571428571428571,6
"405","-Kyokai-",2.5,2,1,0.5,5
"406","-LapS-",3.5,6,4,0.666666666666667,7
"407","-Lea12-",4,3,2,0.666666666666667,7
"408","-lekAA",4,3,3,1,10
"409","-Lighto-",1,11,1,0.0909090909090909,1
"410","-LIME-",1,5,2,0.4,4
"411","-Lofn-",2,32,15,0.46875,5
"412","-Luhui",2,28,11,0.392857142857143,4
"413","-Luke-",1,2,0,0,1
"414","-Luthien-",1.5,2,0,0,1
"415","-Lycia",4,1,1,1,10
"416","-Lynn-",1,1,0,0,1
"417","-Mai-",5,1,1,1,10
"418","-mana_chan-",5,3,3,1,10
"419","-Marcelo-",4,43,31,0.720930232558139,8
"420","-MariaM-",1,1,0,0,1
"421","-Mariko-",3,5,3,0.6,6
"422","-Marina",4,6,4,0.666666666666667,7
"423","-Max",2,11,2,0.181818181818182,2
"424","-Mayte-",1,12,4,0.333333333333333,4
"425","-Mew-",3.5,22,14,0.636363636363636,7
"426","-MG-",5,1,1,1,10
"427","-MiKaBosHI",2,1,0,0,1
"428","-Mio",1,8,2,0.25,3
"429","-Mio-",1,8,3,0.375,4
"430","-MisT-",6,6,5,0.833333333333333,9
"431","-Mitsukii",1,5,1,0.2,2
"432","-Miyuki_Shiba-",9,2,2,1,10
"433","-Moomba-",2,92,35,0.380434782608696,4
"434","-MoonDoggie-",6,3,2,0.666666666666667,7
"435","-MoonlitNight-",3,19,10,0.526315789473684,6
"436","-MoTionSky-",4,7,4,0.571428571428571,6
"437","-N0iR-",4.5,16,11,0.6875,7
"438","-Naami-",7,16,15,0.9375,10
"439","-Nadrel-",2,16,7,0.4375,5
"440","-Naerin-",2,9,4,0.444444444444444,5
"441","-Nagisa",2.5,8,4,0.5,5
"442","-Nanashi-",5,29,23,0.793103448275862,8
"443","-Neko-Kawai-",13,1,1,1,10
"444","-NekoNinja-",3,2,1,0.5,5
"445","-Neptune-",5,5,5,1,10
"446","-net-",2,1,0,0,1
"447","-NightRaid-",4,5,3,0.6,6
"448","-Nika-",2,5,2,0.4,4
"449","-Nikara-",3,5,3,0.6,6
"450","-Noire-",7,1,1,1,10
"451","-Novas-",6,1,1,1,10
"452","-nugget-",3,3,2,0.666666666666667,7
"453","-odango-",4.5,2,1,0.5,5
"454","-Okazaki-",3,29,16,0.551724137931034,6
"455","-One_Punch_Dude-",2,14,5,0.357142857142857,4
"456","-OoKaMi-",5,14,10,0.714285714285714,8
"457","-Orange-kun-",2,87,37,0.425287356321839,5
"458","-otaku-",2,11,3,0.272727272727273,3
"459","-Ouro-",2.5,4,2,0.5,5
"460","-Panda_Hero-",5,3,3,1,10
"461","-Poem",1,1,0,0,1
"462","-pyrrhomaniac-",4,46,29,0.630434782608696,7
"463","-Radu-",2.5,2,1,0.5,5
"464","-rafi-",2.5,32,16,0.5,5
"465","-RaiN-",5,1,1,1,10
"466","-RainbowCat-",2,1,0,0,1
"467","-Raisa-",13,1,1,1,10
"468","-Raito-",1,16,5,0.3125,4
"469","-Raizel-",1,3,0,0,1
"470","-red-cat-",6.5,8,6,0.75,8
"471","-Reika-",3,7,4,0.571428571428571,6
"472","-Rena-chan-",1,9,3,0.333333333333333,4
"473","-Revival-",1,1,0,0,1
"474","-Rica-",1.5,2,0,0,1
"475","-Riit-",2,3,0,0,1
"476","-Rikka-",12,1,1,1,10
"477","-Rikky-",3.5,8,5,0.625,7
"478","-Riptide-",5,1,1,1,10
"479","-Risa-",7,7,6,0.857142857142857,9
"480","-Risa-Sama-",2,4,1,0.25,3
"481","-Roach-",1,17,0,0,1
"482","-rosycrystals-",2.5,2,1,0.5,5
"483","-Ryuuji-",2,26,12,0.461538461538462,5
"484","-Sacred-",1,6,2,0.333333333333333,4
"485","-sahchan",6,2,1,0.5,5
"486","-saku",3,10,6,0.6,6
"487","-SakurAi",2,4,1,0.25,3
"488","-SakuraNeko",4,3,3,1,10
"489","-samy-",11,2,2,1,10
"490","-Saru-",1,7,1,0.142857142857143,2
"491","-Saten_",1.5,2,0,0,1
"492","-saturn-",2,4,0,0,1
"493","-Savante-",4,4,3,0.75,8
"494","-Sayuri-",6,3,3,1,10
"495","-Sch",4,43,32,0.744186046511628,8
"496","-Seki-",3,22,14,0.636363636363636,7
"497","-Senpai-",3,10,8,0.8,8
"498","-SeRg-",4,3,2,0.666666666666667,7
"499","-shad-",5,7,6,0.857142857142857,9
"500","-shaker-",1,37,7,0.189189189189189,2
"501","-Shanigami-",2,117,50,0.427350427350427,5
"502","-Shido-",4.5,16,11,0.6875,7
"503","-Shimameru-",3.5,6,3,0.5,5
"504","-Shio-",2,7,3,0.428571428571429,5
"505","-Shion-",2,5,1,0.2,2
"506","-Shiro",1,12,1,0.0833333333333333,1
"507","-Shizuka-",3,3,2,0.666666666666667,7
"508","-Shooting-Star-",1,1,0,0,1
"509","-Shukaku-",4,2,2,1,10
"510","-Sinon-",1.5,2,0,0,1
"511","-Soel",4,6,4,0.666666666666667,7
"512","-Solid",2,3,1,0.333333333333333,4
"513","-Son",3.5,2,2,1,10
"514","-Sora-",2,34,13,0.382352941176471,4
"515","-SoraChan-",5,1,1,1,10
"516","-Staz",6,3,3,1,10
"517","-Stranger-",2,4,0,0,1
"518","-SYLAR-",3,1,1,1,10
"519","-Taka-",4,9,7,0.777777777777778,8
"520","-tako-",3.5,4,3,0.75,8
"521","-Ted-",13,1,1,1,10
"522","-Testarossa-",1,8,0,0,1
"523","-Tetsuya",7,1,1,1,10
"524","-Thanatos-",6,1,1,1,10
"525","-The-Wolf-Cult-",2,17,7,0.411764705882353,5
"526","-ThyEnd-",1.5,10,4,0.4,4
"527","-Tokuchi_Toua97-",3,12,7,0.583333333333333,6
"528","-Tomoyo-",3,61,36,0.590163934426229,6
"529","-Toukii-",2,2,1,0.5,5
"530","-TUBA-",2,3,0,0,1
"531","-Tukuyomi-",4.5,6,4,0.666666666666667,7
"532","-Twista-",11,1,1,1,10
"533","-Tyltalis",4,1,1,1,10
"534","-Tyrael-",11,10,10,1,10
"535","-vania-",5.5,2,1,0.5,5
"536","-Vergil",9,3,3,1,10
"537","-VIANNEY-",5,2,1,0.5,5
"538","-Vid",4,17,16,0.941176470588235,10
"539","-viki-",2,19,8,0.421052631578947,5
"540","-Violet-",2.5,4,2,0.5,5
"541","-VividDeath-",9.5,2,2,1,10
"542","-Wayfinder",3,19,11,0.578947368421053,6
"543","-We_Are_Legion-",8,2,2,1,10
"544","-weilyem-",1,9,2,0.222222222222222,3
"545","-White_Rabbit-",6.5,4,4,1,10
"546","-xAttack609x-",6,1,1,1,10
"547","-YaeL-",2,21,9,0.428571428571429,5
"548","-Yame-",2,1,0,0,1
"549","-Yami",14,4,4,1,10
"550","-Yatagarasu-",3,9,5,0.555555555555556,6
"551","-Yato-",1,4,1,0.25,3
"552","-Yomi-",5,1,1,1,10
"553","-Yuiko-",1.5,2,0,0,1
"554","-Yuka-",1,1,0,0,1
"555","-Yume",10,1,1,1,10
"556","-Yumiko-",4,5,3,0.6,6
"557","-yuuuki",2,8,3,0.375,4
"558","-Z15-",6,17,16,0.941176470588235,10
"559","-Zekkai-",3,3,2,0.666666666666667,7
"560","-Zenryoku",3,7,5,0.714285714285714,8
"561","-Zin-",2,1,0,0,1
"562","0_Cypher",3,8,4,0.5,5
"563","001thefish",1,5,0,0,1
"564","0048666",2,4,1,0.25,3
"565","005-X",2.5,6,3,0.5,5
"566","009haru",3,20,12,0.6,6
"567","00baka00",3,1,1,1,10
"568","00Blade",1,3,1,0.333333333333333,4
"569","00hoangc",2,1,0,0,1
"570","00plv",3,2,1,0.5,5
"571","00Royx",1.5,6,2,0.333333333333333,4
"572","00SeBi00",4,8,6,0.75,8
"573","00Wolfram",2,1,0,0,1
"574","01ash",7.5,2,2,1,10
"575","01evangelion",2,1,0,0,1
"576","01oigres",4,10,10,1,10
"577","0215MADman",7.5,2,2,1,10
"578","023",1,1,0,0,1
"579","02775",2,69,24,0.347826086956522,4
"580","02animegirl",2,1,0,0,1
"581","02miukie",2,7,3,0.428571428571429,5
"582","03-K64",1,22,4,0.181818181818182,2
"583","03ar",4,12,8,0.666666666666667,7
"584","0481189507",5,8,8,1,10
"585","0504",3.5,8,6,0.75,8
"586","05chante",6,1,1,1,10
"587","0616Z",8,2,2,1,10
"588","07704706",1,3,0,0,1
"589","08gvillanueva",6.5,4,4,1,10
"590","09",5,3,2,0.666666666666667,7
"591","094haru",2,3,1,0.333333333333333,4
"592","09eragera09",4,18,11,0.611111111111111,7
"593","0athlord",3,4,3,0.75,8
"594","0blivionkeeper",12,3,3,1,10
"595","0bsidi0n",1.5,22,4,0.181818181818182,2
"596","0cakekat0",1,4,1,0.25,3
"597","0ctopusPrime",3,1,1,1,10
"598","0ffline",4,11,6,0.545454545454545,6
"599","0keitan",2,3,1,0.333333333333333,4
"600","0lba",4.5,2,1,0.5,5
"601","0M3R44",1,3,0,0,1
"602","0mart",2,4,1,0.25,3
"603","0naru",3,15,12,0.8,8
"604","0ni_Link",2,3,1,0.333333333333333,4
